uid,username,password,type
2297177,GayeGI83@usf.edu,GIBBS,S
7255167,FultonNO56@usf.edu,NOLAN,S
4998614,AlessandroHA19@usf.edu,HALE,S
8543373,ShubhankarKE95@usf.edu,KENNEDY,S
3793867,ErnestMA92@usf.edu,MAXWELL,S
8746967,DawnnaVA41@usf.edu,VASQUEZ,S
4899345,JodieBE89@usf.edu,BENTON,S
5127369,DonaldsonPO10@usf.edu,POOLE,S
2683338,BrigidHA36@usf.edu,HARDIN,S
7232478,WaqaasWO91@usf.edu,WOODARD,S
9336125,NevaMC04@usf.edu,MCDOWELL,S
9122643,AmrikMA27@usf.edu,MATHEWS,S
8684421,BlaireDI75@usf.edu,DICKERSON,S
1567799,ShamsherMY56@usf.edu,MYERS,S
7616759,Heather-MairiMA19@usf.edu,MARTINEZ,S
7237452,IsaacAN59@usf.edu,ANDREWS,S
4686936,SineadWI26@usf.edu,WILCOX,S
8112955,MartinMO80@usf.edu,MORTON,S
6342741,JaspalCH70@usf.edu,CHANG,S
5363943,Jenness-LouisePA91@usf.edu,PATTON,S
7251397,FrazierRO30@usf.edu,ROLLINS,S
7328479,DarinCA48@usf.edu,CAMACHO,S
2931634,JenniferJO19@usf.edu,JOSEPH,S
2451858,AmarDI66@usf.edu,DIAZ,S
1426586,SareanBU14@usf.edu,BUCK,S
4284284,CarolynnDO51@usf.edu,DODSON,S
1536151,CareyRO23@usf.edu,RODRIGUEZ,S
7239616,TomPE00@usf.edu,PEREZ,S
1513733,RaymondCO19@usf.edu,CORDOVA,S
5748997,HaydenCH89@usf.edu,CHEN,S
3778895,JanitaES87@usf.edu,ESCOBAR,S
4377447,AimiCH80@usf.edu,CHUNG,S
2572858,CorrinHU45@usf.edu,HUGHES,S
2757519,JeffNO38@usf.edu,NOVAK,S
1556138,JackiePE48@usf.edu,PEREZ,S
4775731,AynsleyBL69@usf.edu,BLACKBURN,S
9742729,ClaudiaON41@usf.edu,ONEAL,S
7864237,AnnetteSN12@usf.edu,SNOW,S
2453815,CarolynCH16@usf.edu,CHANG,S
6992223,KeirghanMC46@usf.edu,MCMILLAN,S
3953971,John-DavidAL49@usf.edu,ALVAREZ,S
2223984,PaniayotisMU98@usf.edu,MULLEN,S
1437371,JethroGO82@usf.edu,GOLDEN,S
6182988,NajeebSU55@usf.edu,SUMMERS,S
5565189,NamSC58@usf.edu,SCHROEDER,S
3134871,IllushkaSE86@usf.edu,SELLERS,S
7661156,AdebayoVA84@usf.edu,VALENCIA,S
3312511,NaveedDA03@usf.edu,DAVILA,S
4963598,KirstyAT95@usf.edu,ATKINSON,S
6544244,MykeLO23@usf.edu,LONG,S
4548885,GhazalaBI11@usf.edu,BIRD,S
1747246,EvaFO34@usf.edu,FOX,S
1455973,Katie-AnneDA60@usf.edu,DAVIDSON,S
6772565,MalkeetHI25@usf.edu,HIGGINS,S
8759419,ShmaialaRO03@usf.edu,ROSALES,S
6233956,ShartMU83@usf.edu,MULLINS,S
3261956,DawneLE27@usf.edu,LE,S
5858876,JanisME32@usf.edu,MERCER,S
2971548,ImranBA93@usf.edu,BARRON,S
2362548,GarCH72@usf.edu,CHOI,S
6876637,AvrilBR08@usf.edu,BROCK,S
3783394,MandyFI42@usf.edu,FITZPATRICK,S
5591619,FayeSW37@usf.edu,SWEENEY,S
9956827,LeslieHO08@usf.edu,HOGAN,S
3984168,JoeyHU18@usf.edu,HUBBARD,S
9255399,SherylIB36@usf.edu,IBARRA,S
9598828,VanyaST88@usf.edu,STEELE,S
6631295,MariHO29@usf.edu,HOLT,S
4194427,CareyJE95@usf.edu,JENSEN,S
3667812,MorganCA40@usf.edu,CARROLL,S
2214457,Kimberley-LeeBA82@usf.edu,BAUER,S
8567382,SkyePI12@usf.edu,PINEDA,S
4797373,YasminDU60@usf.edu,DUFFY,S
7981467,JosieRO78@usf.edu,RODRIGUEZ,S
7171651,NyssaNG03@usf.edu,NGUYEN,S
4116655,JaimineVA49@usf.edu,VALENCIA,S
5713578,DonevaME29@usf.edu,MENDEZ,S
4678687,FabianRI70@usf.edu,RIVERA,S
3598757,KeldaOR82@usf.edu,ORTIZ,S
6451768,Katie-JaneFE46@usf.edu,FERRELL,S
2473226,CliffordSU59@usf.edu,SULLIVAN,S
6331614,Victoria-AnnST07@usf.edu,STEVENSON,S
8134633,NancyIN05@usf.edu,INGRAM,S
5251194,KarisLE22@usf.edu,LE,S
2431994,RosalynnLA66@usf.edu,LANE,S
8449535,CherrieHO83@usf.edu,HO,S
8411276,MerlynLE57@usf.edu,LEE,S
9357127,CortezKA38@usf.edu,KANE,S
8883639,DeborahBL36@usf.edu,BLEVINS,S
9117484,Melanie-JaneAL35@usf.edu,ALEXANDER,S
6962882,HayRA29@usf.edu,RAMSEY,S
7752539,John-PaulFO67@usf.edu,FOX,S
6923185,MarinoGL48@usf.edu,GLENN,S
2248959,NaraVA13@usf.edu,VALENZUELA,S
8759555,VivienBA74@usf.edu,BALDWIN,S
1636653,SheilianBU82@usf.edu,BURGESS,S
7117596,GrantOR47@usf.edu,ORTIZ,S
5247354,ArabellaGU51@usf.edu,GUTIERREZ,S
3125451,Kelly-AnneCH38@usf.edu,CHRISTENSEN,S
3487446,LyanaRI65@usf.edu,RICH,S
4415883,DanaFL62@usf.edu,FLOWERS,S
4853169,KirstyDU80@usf.edu,DUNCAN,S
6632986,JustinaTE20@usf.edu,TERRY,S
8765446,YinWI26@usf.edu,WILSON,S
7672836,AlynST40@usf.edu,STRONG,S
8648451,Anna-TeraysaRA11@usf.edu,RANDOLPH,S
3719636,MistyCO43@usf.edu,CONWAY,S
3696498,RawsonWO30@usf.edu,WONG,S
3637891,StanleyHA89@usf.edu,HATFIELD,S
4897632,RossalynFR25@usf.edu,FREDERICK,S
4255629,JoePH88@usf.edu,PHELPS,S
8678927,VikashGR72@usf.edu,GREENE,S
1311972,AmanMC22@usf.edu,MCINTYRE,S
1727875,FaridMC58@usf.edu,MCCULLOUGH,S
3712754,LinsayST33@usf.edu,STEELE,S
8451847,AedanHA57@usf.edu,HAYS,S
4426814,GilleasbuigBA16@usf.edu,BARTLETT,S
6832841,MagdalanaPE76@usf.edu,PENA,S
4498484,NorelleRO13@usf.edu,ROGERS,S
1761429,FidaRA19@usf.edu,RAMIREZ,S
6334264,TanojaCO13@usf.edu,COOPER,S
9779163,IsiuaBO36@usf.edu,BOYER,S
5155475,DeeJE92@usf.edu,JENSEN,S
3767813,OrnaBA25@usf.edu,BARRY,S
9494983,Mir-RezaHA60@usf.edu,HART,S
1411715,JohnathanCL27@usf.edu,CLAYTON,S
2929858,JhanaOS51@usf.edu,OSBORNE,S
9789318,ImranMC09@usf.edu,MCCANN,S
3668848,JoniBR73@usf.edu,BRADFORD,S
4234514,WiamBR87@usf.edu,BRENNAN,S
3135122,CornelisOL81@usf.edu,OLSON,S
7716414,TeagueBU03@usf.edu,BUSH,S
8754997,LaraHI92@usf.edu,HICKS,S
7628532,SharonneFR01@usf.edu,FROST,S
5545679,JodyOC83@usf.edu,OCHOA,S
9265114,GethinNI80@usf.edu,NIXON,S
4368323,AnnAV02@usf.edu,AVILA,S
6867621,CarrinBA92@usf.edu,BAILEY,S
4957641,ManalRO75@usf.edu,ROSARIO,S
5771222,BlythME73@usf.edu,MELTON,S
5835617,YazanWA30@usf.edu,WAGNER,S
2451575,AyaLI10@usf.edu,LIVINGSTON,S
5699558,LewisBA94@usf.edu,BARRETT,S
9366284,TaiSH80@usf.edu,SHIELDS,S
1613278,OwainDY86@usf.edu,DYER,S
8341316,GustavusMA49@usf.edu,MANNING,S
2931288,YvonneJA87@usf.edu,JACOBSON,S
9442278,BreigeSC69@usf.edu,SCHROEDER,S
6914657,AfshanNO63@usf.edu,NOLAN,S
3755324,DuncanPO73@usf.edu,POWELL,S
5397277,Laura-JaneME08@usf.edu,MEJIA,S
3575893,ShaunaSI16@usf.edu,SINGH,S
2123572,SherylRU27@usf.edu,RUIZ,S
4678514,DerrickMA55@usf.edu,MAYNARD,S
5258481,JalalEA64@usf.edu,EATON,S
2664688,RabiaVA58@usf.edu,VALDEZ,S
5324921,Si-PoRI31@usf.edu,RIGGS,S
6766874,ErnestKR23@usf.edu,KRUEGER,S
1237288,NadineGR29@usf.edu,GRAY,S
9184159,JonathenVA01@usf.edu,VANG,S
3224352,KaraLU91@usf.edu,LUCERO,S
5939948,DenniseMC29@usf.edu,MCCANN,S
9728889,NialBA87@usf.edu,BAUTISTA,S
3573138,ArranMY98@usf.edu,MYERS,S
4721569,GwynethBA44@usf.edu,BARRON,S
8296142,CarraTH14@usf.edu,THOMPSON,S
9595167,MatildaSA09@usf.edu,SAUNDERS,S
1898584,LennoxSA40@usf.edu,SALAZAR,S
6795979,RakeshNG93@usf.edu,NGUYEN,S
9652449,CourtneyRO38@usf.edu,ROY,S
6797888,RobynTR18@usf.edu,TRAVIS,S
6124578,IramFR32@usf.edu,FREDERICK,S
7756824,HammadHO82@usf.edu,HOLLAND,S
4218786,Leslie-AnneCE27@usf.edu,CERVANTES,S
4784853,FarheenPA47@usf.edu,PATEL,S
7412978,DeboraWA23@usf.edu,WARE,S
1528519,BarbaraCA68@usf.edu,CARTER,S
4597371,ElizaBA40@usf.edu,BARNES,S
4374932,BanjaminFI07@usf.edu,FITZPATRICK,S
2759517,KrystynaHI63@usf.edu,HICKS,S
2576465,RosalynHU15@usf.edu,HUYNH,S
7952283,KorenaFA34@usf.edu,FARMER,S
7593457,JaimieHA11@usf.edu,HARRINGTON,S
9816922,NoraHA67@usf.edu,HAMMOND,S
4874475,NyreeQU20@usf.edu,QUINN,S
7366298,Claire-AnnCA17@usf.edu,CARR,S
4195839,KismitEA00@usf.edu,EATON,S
3461146,DiamaCA97@usf.edu,CANTRELL,S
9714939,LornaPA94@usf.edu,PACE,S
5113461,RahoofME18@usf.edu,MENDEZ,S
8457498,CrystallRO89@usf.edu,ROMAN,S
5112646,DarrelWH74@usf.edu,WHITAKER,S
5352386,SharronZA42@usf.edu,ZAVALA,S
5524241,JordanVA98@usf.edu,VALENZUELA,S
1381579,SajdaRI77@usf.edu,RICHARDS,S
5733863,SherylCR69@usf.edu,CROSS,S
1986735,KirstiHA77@usf.edu,HARRISON,S
4348317,MargueritteOR73@usf.edu,ORTEGA,S
5831177,Kelly-AnneCO83@usf.edu,CONRAD,S
1288966,FarahFE48@usf.edu,FERRELL,S
6331751,AlphonsaHO60@usf.edu,HOWELL,S
3242164,CiarinPA66@usf.edu,PARKER,S
1153132,CarrieDE98@usf.edu,DELACRUZ,S
1331679,SyemaBA32@usf.edu,BATES,S
7754267,RooneyAN12@usf.edu,ANDRADE,S
7689712,NikkiMA85@usf.edu,MACDONALD,S
1174759,HollieSA60@usf.edu,SANCHEZ,S
3883535,Shirley-AnneBR35@usf.edu,BRADSHAW,S
3886657,ZiawrLA86@usf.edu,LAWSON,S
3615833,EdwardCA42@usf.edu,CARLSON,S
1818635,ElsbethBR67@usf.edu,BRIDGES,S
6639724,AsiaDA81@usf.edu,DAVIS,S
8569271,ShellyFO46@usf.edu,FOSTER,S
1877749,HarnakeVA34@usf.edu,VAZQUEZ,S
2436679,MarnieWO34@usf.edu,WOODARD,S
4651222,Shari-LeeBO12@usf.edu,BONILLA,S
6388943,HehCH80@usf.edu,CHANEY,S
4887288,ShanajAR81@usf.edu,ARELLANO,S
2981499,NanetteST63@usf.edu,STRONG,S
2742515,BethJO88@usf.edu,JORDAN,S
5832184,RosslynCO99@usf.edu,COWAN,S
5815456,KerryGU73@usf.edu,GUERRERO,S
6443777,TuhoWA83@usf.edu,WALKER,S
4255752,LaurnaAY32@usf.edu,AYERS,S
4245224,FionnHO85@usf.edu,HOWARD,S
3549965,TerezeDA61@usf.edu,DAUGHERTY,S
7439612,MilesYO96@usf.edu,YODER,S
8325897,KatieBE10@usf.edu,BENTLEY,S
5975428,PerveenHA46@usf.edu,HANCOCK,S
7699818,ParvinderMO05@usf.edu,MORA,S
6516564,FrancyneBA36@usf.edu,BANKS,S
9549474,AnneelaVI68@usf.edu,VILLEGAS,S
6622243,Toni-MichelleCH16@usf.edu,CHARLES,S
4773994,StefanosWO97@usf.edu,WOLF,S
6913786,RanbirSH55@usf.edu,SHERMAN,S
6361978,ChristianEA37@usf.edu,EATON,S
8164831,ArianeRO00@usf.edu,RODRIGUEZ,S
7223555,KatarinaVI23@usf.edu,VILLARREAL,S
4931589,JeannetteEW81@usf.edu,EWING,S
7485533,KatherineSA20@usf.edu,SANDERS,S
8455371,ShabhanaRI64@usf.edu,RIVERS,S
6518365,NaderBE23@usf.edu,BELTRAN,S
5834951,LuisKR75@usf.edu,KRAUSE,S
3926858,DoloresDU58@usf.edu,DUARTE,S
2199894,AustinDR69@usf.edu,DRAKE,S
3786457,DeinMO78@usf.edu,MORGAN,S
4468863,ElinorSA36@usf.edu,SANDOVAL,S
3118167,NahidCA05@usf.edu,CARROLL,S
2714994,HarvinderMC04@usf.edu,MCKEE,S
5714817,AshleySH36@usf.edu,SHAFFER,S
1977884,MarietteBR45@usf.edu,BRADLEY,S
5771816,JeanneHA22@usf.edu,HARVEY,S
7659942,FernandaES12@usf.edu,ESTES,S
2993283,AinslieMA61@usf.edu,MARKS,S
2875516,FridaCL75@usf.edu,CLAYTON,S
2229363,EuphemiaKL69@usf.edu,KLEIN,S
8363442,MonicaAN37@usf.edu,ANTHONY,S
9378738,ElliAS13@usf.edu,ASHLEY,S
8569824,JeetinderLI52@usf.edu,LIU,S
6173715,AnimGA42@usf.edu,GALVAN,S
2412721,JulianRY73@usf.edu,RYAN,S
4668938,DuarKI40@usf.edu,KIRK,S
4199166,TitilolaCO90@usf.edu,COBB,S
8414623,RifatPH29@usf.edu,PHILLIPS,S
9982273,YenFR65@usf.edu,FRANCIS,S
8289248,KirstinSH00@usf.edu,SHANNON,S
2799555,LarainePA26@usf.edu,PARKER,S
2136414,AndreasGA02@usf.edu,GARRISON,S
1957326,SeumasBU35@usf.edu,BUSH,S
9881522,NaveedON30@usf.edu,ONEAL,S
6129727,SafeHE19@usf.edu,HENSLEY,S
5728751,TovahLO20@usf.edu,LOGAN,S
8141157,WendiMA05@usf.edu,MATHIS,S
8386684,MorrisME48@usf.edu,MEDINA,S
6218762,JamieHO29@usf.edu,HOBBS,S
3652924,FabienPO19@usf.edu,POPE,S
1595545,ConeyCI56@usf.edu,CISNEROS,S
1686281,ClintonRI87@usf.edu,RICE,S
2242636,AliaON65@usf.edu,ONEAL,S
6235342,KestonRY15@usf.edu,RYAN,S
4695493,RomanaVA72@usf.edu,VANG,S
5522392,ChloeLA28@usf.edu,LAMBERT,S
9487476,StephenZA70@usf.edu,ZAMORA,S
8817623,LeasaPA68@usf.edu,PATRICK,S
8812642,KarrieCL10@usf.edu,CLARKE,S
7374197,SubhaTR23@usf.edu,TRAN,S
4929516,AshleahKA68@usf.edu,KAISER,S
8775543,AilishYO25@usf.edu,YOUNG,S
3859537,MisbahMC53@usf.edu,MCKNIGHT,S
3293156,RaziaCO68@usf.edu,COOLEY,S
1784884,CharleneCL12@usf.edu,CLAYTON,S
3192225,PaigeRE81@usf.edu,REYES,S
4273863,Emily-AnneAC62@usf.edu,ACOSTA,S
6491275,AnjieKN64@usf.edu,KNIGHT,S
9527317,GilesYO50@usf.edu,YODER,S
3732992,UrsulaAV85@usf.edu,AVERY,S
9762245,LindseyBE93@usf.edu,BELL,S
8473799,DonnaBR50@usf.edu,BRADLEY,S
8189794,HughgoHA34@usf.edu,HARRINGTON,S
6352617,JacquiSH95@usf.edu,SHARP,S
1425213,DaleCU47@usf.edu,CUMMINGS,S
6771783,Kerry-JaneSW97@usf.edu,SWEENEY,S
9122196,ParminderFL96@usf.edu,FLOYD,S
2386171,CarenneES17@usf.edu,ESCOBAR,S
7386891,IndiaJA00@usf.edu,JACOBS,S
8288661,LaylaKO32@usf.edu,KOCH,S
1436463,JoniWA46@usf.edu,WALSH,S
8753443,NoreenRU80@usf.edu,RUIZ,S
1634596,MurraySC46@usf.edu,SCOTT,S
3648454,WadeKA40@usf.edu,KAISER,S
1525639,DalvinderHA66@usf.edu,HARRELL,S
1333287,JoseCL82@usf.edu,CLAY,S
5972543,JassonNG62@usf.edu,NGUYEN,S
3943639,CharlyneDU56@usf.edu,DUNCAN,S
4184193,FreyaTO13@usf.edu,TODD,S
9334196,YaseenLA56@usf.edu,LANE,S
7425111,MuroNI76@usf.edu,NIXON,S
6187315,GabrielBO49@usf.edu,BOWEN,S
6545629,TrinaLE83@usf.edu,LEONARD,S
8582569,CiaronSA22@usf.edu,SAWYER,S
6829282,SylvieRA06@usf.edu,RANGEL,S
5946328,DannyKH47@usf.edu,KHAN,S
3648859,HamzahOL06@usf.edu,OLSON,S
6559284,GabrielWI29@usf.edu,WILKINS,S
7965721,EwinCO80@usf.edu,COBB,S
3129679,TerriRE62@usf.edu,REED,S
3241234,LeainWA48@usf.edu,WARREN,S
7572548,LupME29@usf.edu,MELENDEZ,S
8116443,SandraWY40@usf.edu,WYATT,S
8888898,AkassNI68@usf.edu,NICHOLS,S
5446248,HedleyPA92@usf.edu,PARSONS,S
5915844,TrudiSE77@usf.edu,SELLERS,S
5521787,Elizabeth-MaySH90@usf.edu,SHAH,S
2267486,HaniaCO69@usf.edu,COOKE,S
8195142,SandipJA33@usf.edu,JACKSON,S
5483579,DarioCA60@usf.edu,CASTILLO,S
4928385,SabinaTA87@usf.edu,TATE,S
9738261,JatinderPA96@usf.edu,PAYNE,S
2195557,EvelynHA65@usf.edu,HAYDEN,S
6429326,FrankRO45@usf.edu,ROLLINS,S
1679546,LorriYU59@usf.edu,YU,S
4985768,AdrianeGA07@usf.edu,GATES,S
9367388,DiseyePA06@usf.edu,PATTON,S
7545585,CarinaBA96@usf.edu,BARAJAS,S
7234965,SophianeMA11@usf.edu,MAHONEY,S
1662677,AdenaRI37@usf.edu,RIOS,S
9465886,LuviniaGO37@usf.edu,GOULD,S
2851967,AsaadGL08@usf.edu,GLOVER,S
5973489,MariainaHO95@usf.edu,HOLLOWAY,S
9877313,AthenaFA50@usf.edu,FAULKNER,S
2121276,Cari-AnneSA06@usf.edu,SAMPSON,S
9236627,ChiaraGO09@usf.edu,GOOD,S
4361528,NinaHA84@usf.edu,HAMILTON,S
8592786,StevynBE21@usf.edu,BEARD,S
2517431,MellisaHO39@usf.edu,HOWE,S
3316563,CharlotteBR92@usf.edu,BRUCE,S
8628572,MeaghanMO91@usf.edu,MONTOYA,S
9367742,MurdoHA87@usf.edu,HART,S
5266714,BasilSC59@usf.edu,SCHNEIDER,S
8956878,GladysHA08@usf.edu,HANSEN,S
2212153,WaiRO31@usf.edu,RODGERS,S
9273292,NaseenMO61@usf.edu,MONTGOMERY,S
6541672,AdelaideHO57@usf.edu,HORN,S
7215945,CatrinaPR31@usf.edu,PRINCE,S
2179624,AnnabellaHO23@usf.edu,HOBBS,S
5297964,SherynFO71@usf.edu,FORD,S
5731635,LaylaCO59@usf.edu,COX,S
9668543,AishaSP50@usf.edu,SPENCER,S
3253439,AmandaVE80@usf.edu,VELAZQUEZ,S
8279988,CristopherAY63@usf.edu,AYALA,S
6798129,LubnaHA85@usf.edu,HANCOCK,S
2552512,LeenahAD52@usf.edu,ADAMS,S
8174165,DenyseFE95@usf.edu,FERRELL,S
1445328,CauletteGA21@usf.edu,GALLAGHER,S
9757415,ShirazJO49@usf.edu,JONES,S
1221697,OttilieWA63@usf.edu,WAGNER,S
7361166,FaizaLE15@usf.edu,LEE,S
5554296,Ting-TingDA44@usf.edu,DAVIDSON,S
8521475,CaireenBO99@usf.edu,BOYLE,S
4746734,JadeLI02@usf.edu,LINDSEY,S
8166552,RoseleenHU51@usf.edu,HURLEY,S
8658963,RovelME17@usf.edu,MEADOWS,S
9626739,SukhjitWA78@usf.edu,WARE,S
8534697,KiranLO46@usf.edu,LOVE,S
7359627,PriyaMO99@usf.edu,MORROW,S
4443629,ClaudiaCO23@usf.edu,CORTEZ,S
3747376,KathrynOL32@usf.edu,OLSEN,S
2566496,LuanBR08@usf.edu,BRANCH,S
1677417,TrevorWA07@usf.edu,WALKER,S
2657343,JosefineBA38@usf.edu,BASS,S
4895695,LinziCO34@usf.edu,CONTRERAS,S
3798437,ArmandMC81@usf.edu,MCCALL,S
2984565,DermotHO07@usf.edu,HOLDEN,S
6916685,BrydenLA79@usf.edu,LARSON,S
6335751,Trea-AnnMO11@usf.edu,MORROW,S
3695574,DamenAN97@usf.edu,ANDREWS,S
9818447,AidenAC52@usf.edu,ACOSTA,S
9367617,BeverleyES38@usf.edu,ESPARZA,S
7816774,JackieHA98@usf.edu,HARDIN,S
1653159,CaronDU75@usf.edu,DUNLAP,S
7767782,JaysonLE94@usf.edu,LE,S
6277766,LeaneVA79@usf.edu,VAUGHN,S
1411844,RadhaWA12@usf.edu,WALKER,S
3347712,LyndseyCR53@usf.edu,CRUZ,S
1122241,StewartHU29@usf.edu,HUMPHREY,S
6852661,ColleneCO08@usf.edu,COHEN,S
8122248,VickiPE14@usf.edu,PETERS,S
4513933,ZaqiaER31@usf.edu,ERICKSON,S
8387935,BeverlyMC69@usf.edu,MCCALL,S
8835998,SaairaSE42@usf.edu,SEXTON,S
8141243,GilesAT43@usf.edu,ATKINSON,S
2592616,AlaynaFA58@usf.edu,FARLEY,S
5212535,LeannaCR44@usf.edu,CRAWFORD,S
6556514,Ann-LouiseMA89@usf.edu,MATHEWS,S
1251171,EmilioHA18@usf.edu,HARMON,S
1367993,SuilvenHO40@usf.edu,HORNE,S
9556614,DanielaPR24@usf.edu,PRATT,S
4883913,OritsejuMO28@usf.edu,MORAN,S
5523477,JohreneOW91@usf.edu,OWENS,S
8425321,YesminWH79@usf.edu,WHITAKER,S
1527761,Kelly-AnnTU03@usf.edu,TURNER,S
1436529,JayDA48@usf.edu,DAVIES,S
8167694,MorayDO59@usf.edu,DOUGHERTY,S
4121119,JoannaMC21@usf.edu,MCINTOSH,S
4492332,AileyMO42@usf.edu,MORALES,S
4569775,GarrieVE97@usf.edu,VELAZQUEZ,S
7121891,MelvilleBI22@usf.edu,BIRD,S
4514991,MonaSA58@usf.edu,SAVAGE,S
7514645,StacyLI23@usf.edu,LIN,S
6135833,ShabirBA59@usf.edu,BAKER,S
4499331,AshaWE41@usf.edu,WELCH,S
5552113,ElizabethST92@usf.edu,STEPHENS,S
8626312,NavdeepGL71@usf.edu,GLASS,S
7761166,ChanelleDA83@usf.edu,DAVENPORT,S
6165646,BramWI84@usf.edu,WILKINS,S
1984789,MargieFA43@usf.edu,FARRELL,S
7137111,JustineLA61@usf.edu,LAMB,S
5596651,LaraBU34@usf.edu,BURKE,S
1876911,MinushYA76@usf.edu,YATES,S
2852131,RuanOL07@usf.edu,OLSEN,S
5997555,ColbySA33@usf.edu,SAMPSON,S
6279919,DebralFL63@usf.edu,FLYNN,S
1531356,SymaBI74@usf.edu,BIRD,S
7765392,LezleyannMA35@usf.edu,MANNING,S
9865526,ZaidGR28@usf.edu,GRIFFITH,S
9822579,AntoinetteCO79@usf.edu,COLLIER,S
8269486,MellisaPE74@usf.edu,PEARSON,S
3427789,JorgenFR79@usf.edu,FRY,S
4783554,LewisPA53@usf.edu,PAYNE,S
7957781,MornaBA43@usf.edu,BARKER,S
1692112,NyssaMA59@usf.edu,MAY,S
9945631,PauloCO46@usf.edu,COOK,S
5559637,SolomanTA79@usf.edu,TAYLOR,S
4696226,ImranPH11@usf.edu,PHAM,S
8417628,HaileyWA69@usf.edu,WATKINS,S
1912567,EvanNO28@usf.edu,NOBLE,S
3587512,NafeesaMA74@usf.edu,MARSHALL,S
6344423,AnielRO38@usf.edu,ROBINSON,S
5745199,AsiaSO03@usf.edu,SOSA,S
1856843,ZemaKE00@usf.edu,KENNEDY,S
3848847,KimberlyMC41@usf.edu,MCLAUGHLIN,S
1155476,ArenaGA74@usf.edu,GARRISON,S
7397625,JulianneDO31@usf.edu,DONOVAN,S
1452996,SamirBU19@usf.edu,BURGESS,S
3188958,KonradJE81@usf.edu,JENNINGS,S
3291376,MoniqueLA09@usf.edu,LAMBERT,S
6731727,Lee-WilliamBU66@usf.edu,BURNETT,S
4659837,AnnetteVA89@usf.edu,VALENZUELA,S
8782134,NicolaRI31@usf.edu,RICHARDSON,S
8839818,NarinderFR34@usf.edu,FRY,S
9467628,KeirDA13@usf.edu,DAVILA,S
2476688,BruxeSH96@usf.edu,SHEPARD,S
2258298,JenniferSH25@usf.edu,SHORT,S
3252281,LinzyKH24@usf.edu,KHAN,S
7198923,EmilyLO05@usf.edu,LOWERY,S
1916567,SheilaDE87@usf.edu,DENNIS,S
8334791,EmilyaPO45@usf.edu,POTTER,S
7342274,KatharineME06@usf.edu,MENDOZA,S
6671184,AileenDA17@usf.edu,DAVENPORT,S
4571569,CarloVA48@usf.edu,VALENCIA,S
5651741,RandallED50@usf.edu,EDWARDS,S
2769992,Sara-JaneES05@usf.edu,ESTES,S
7716152,AilieRA83@usf.edu,RANDOLPH,S
5693869,TawfikRO45@usf.edu,ROACH,S
2156327,TsuiBR76@usf.edu,BRADSHAW,S
8594251,EsterCA81@usf.edu,CARROLL,S
2811285,ReneeCA47@usf.edu,CANTRELL,S
6598223,KrisBR43@usf.edu,BRYAN,S
3782851,RamonDU17@usf.edu,DUFFY,S
9946787,JerryWA81@usf.edu,WARE,S
1918412,RajinderLE41@usf.edu,LEWIS,S
3716993,WaheedaWI16@usf.edu,WILLIAMSON,S
5349858,KristeenCO12@usf.edu,CONLEY,S
3927884,FionnualaFR32@usf.edu,FRANKLIN,S
3686137,LorayneGI08@usf.edu,GILMORE,S
6481735,VirginiaHU00@usf.edu,HUGHES,S
